IND,Home,Win,LAL,Away
LAC,Away,Win,PHI,Home
PHI,Home,Loss,LAC,Away
DEN,Away,Loss,BKN,Home
BKN,Home,Win,DEN,Away
TOR,Away,Win,DET,Home
DET,Home,Loss,TOR,Away
ORL,Away,Win,ATL,Home
ATL,Home,Loss,ORL,Away
POR,Away,Win,MEM,Home
MEM,Home,Loss,POR,Away
NO,Away,Win,MIN,Home
MIN,Home,Loss,NO,Away
OKC,Away,Win,PHO,Home
PHO,Home,Loss,OKC,Away
SA,Away,Win,MIA,Home
MIA,Home,Loss,SA,Away
BOS,Away,Loss,MIL,Home
MIL,Home,Win,BOS,Away
WAS,Away,Win,NY,Home
NY,Home,Loss,WAS,Away
UTA,Away,Win,DAL,Home
DAL,Home,Loss,UTA,Away
HOU,Away,Loss,GS,Home
GS,Home,Win,HOU,Away
CHA,Away,Win,IND,Home
IND,Home,Loss,CHA,Away
SA,Away,Win,ORL,Home
ORL,Home,Loss,SA,Away
SAC,Away,Win,PHI,Home
PHI,Home,Loss,SAC,Away
LAC,Away,Loss,BOS,Home
BOS,Home,Win,LAC,Away
MEM,Away,Win,BKN,Home
BKN,Home,Loss,MEM,Away
DEN,Away,Win,DET,Home
DET,Home,Loss,DEN,Away
ATL,Away,Win,CHI,Home
CHI,Home,Loss,ATL,Away
LAL,Away,Loss,CLE,Home
CLE,Home,Win,LAL,Away
TOR,Away,Loss,MIN,Home
MIN,Home,Win,TOR,Away
UTA,Away,Loss,NO,Home
NO,Home,Win,UTA,Away
GS,Away,Win,PHO,Home
PHO,Home,Loss,GS,Away
HOU,Away,Loss,POR,Home
POR,Home,Win,HOU,Away
WAS,Away,Loss,MIL,Home
MIL,Home,Win,WAS,Away
NO,Away,Loss,OKC,Home
OKC,Home,Win,NO,Away
UTA,Away,Loss,WAS,Home
WAS,Home,Win,UTA,Away
CHI,Away,Loss,CLE,Home
CLE,Home,Win,CHI,Away
SA,Away,Loss,LAC,Home
LAC,Home,Win,SA,Away
DAL,Away,Loss,ORL,Home
ORL,Home,Win,DAL,Away
DET,Away,Loss,WAS,Home
WAS,Home,Win,DET,Away
NY,Away,Loss,BKN,Home
BKN,Home,Win,NY,Away
MIA,Away,Win,ATL,Home
ATL,Home,Loss,MIA,Away
TOR,Away,Loss,CHI,Home
CHI,Home,Win,TOR,Away
MIN,Away,Loss,MEM,Home
MEM,Home,Win,MIN,Away
CHA,Away,Win,MIL,Home
MIL,Home,Loss,CHA,Away
PHI,Away,Loss,NO,Home
NO,Home,Win,PHI,Away
IND,Away,Win,OKC,Home
OKC,Home,Loss,IND,Away
HOU,Away,Win,PHO,Home
PHO,Home,Loss,HOU,Away
GS,Away,Loss,POR,Home
POR,Home,Win,GS,Away
DEN,Away,Loss,SAC,Home
SAC,Home,Win,DEN,Away
SA,Away,Win,LAL,Home
LAL,Home,Loss,SA,Away
BOS,Away,Loss,UTA,Home
UTA,Home,Win,BOS,Away
MIL,Away,Win,ATL,Home
ATL,Home,Loss,MIL,Away
WAS,Away,Loss,MIA,Home
MIA,Home,Win,WAS,Away
NY,Away,Win,MIN,Home
MIN,Home,Loss,NY,Away
GS,Away,Win,LAC,Home
LAC,Home,Loss,GS,Away
NO,Away,Win,DET,Home
DET,Home,Loss,NO,Away
CLE,Away,Win,OKC,Home
OKC,Home,Loss,CLE,Away
BOS,Away,Win,DEN,Home
DEN,Home,Loss,BOS,Away
SA,Away,Win,PHO,Home
PHO,Home,Loss,SA,Away
CHA,Away,Win,BKN,Home
BKN,Home,Loss,CHA,Away
IND,Away,Win,ORL,Home
ORL,Home,Loss,IND,Away
MEM,Away,Loss,TOR,Home
TOR,Home,Win,MEM,Away
PHI,Away,Loss,DAL,Home
DAL,Home,Win,PHI,Away
LAL,Away,Loss,CHI,Home
CHI,Home,Win,LAL,Away
UTA,Away,Loss,POR,Home
POR,Home,Win,UTA,Away
DET,Away,Win,CLE,Home
CLE,Home,Loss,DET,Away
IND,Away,Loss,MIA,Home
MIA,Home,Win,IND,Away
TOR,Away,Win,NY,Home
NY,Home,Loss,TOR,Away
GS,Away,Win,ATL,Home
ATL,Home,Loss,GS,Away
LAL,Away,Loss,MIL,Home
MIL,Home,Win,LAL,Away
BOS,Away,Loss,MIN,Home
MIN,Home,Win,BOS,Away
PHO,Away,Loss,LAC,Home
LAC,Home,Win,PHO,Away
ORL,Away,Win,PHI,Home
PHI,Home,Loss,ORL,Away
NO,Away,Loss,WAS,Home
WAS,Home,Win,NO,Away
SAC,Away,Win,DEN,Home
